JPM	JPMorgan Chase & Co.	8.83%
BRK.B	Berkshire Hathaway Inc.	7.77%
MA	Mastercard Incorporated	4.76%
BAC	Bank of America Corporation	4.13%
V	Visa Inc.	4.10%
GS	The Goldman Sachs Group, Inc.	3.38%
MS	Morgan Stanley	2.90%
WFC	Wells Fargo & Company	2.80%
C	Citigroup Inc.	2.39%
AXP	American Express Company	1.98%
BLK	BlackRock, Inc.	1.82%
SCHW	The Charles Schwab Corporation	1.70%
SPGI	S&P Global Inc.	1.51%
COF	Capital One Financial Corporation	1.32%
PGR	The Progressive Corporation	1.31%
CB	Chubb Limited	1.28%
CME	CME Group Inc.	1.17%
BNY	The Bank of New York Mellon Corporation	1.13%
PNC	The PNC Financial Services Group, Inc.	1.05%
BX	Blackstone Inc.	1.02%
