NVDA	NVIDIA Corporation	16.78%
AAPL	Apple Inc.	15.26%
MSFT	Microsoft Corporation	9.87%
AVGO	Broadcom Inc.	4.49%
MU	Micron Technology, Inc.	4.19%
AMD	Advanced Micro Devices, Inc.	3.20%
INTC	Intel Corporation	1.95%
CSCO	Cisco Systems, Inc.	1.85%
LRCX	Lam Research Corporation	1.55%
ORCL	Oracle Corporation	1.45%
AMAT	Applied Materials, Inc.	1.39%
PLTR	Palantir Technologies Inc.	1.34%
TXN	Texas Instruments Incorporated	1.10%
IBM	International Business Machines Corporation	1.08%
QCOM	QUALCOMM Incorporated	1.07%
KLAC	KLA Corporation	1.00%
SNDK	Sandisk Corporation	0.98%
PANW	Palo Alto Networks, Inc.	0.92%
ADI	Analog Devices, Inc.	0.81%
STX	Seagate Technology Holdings plc	0.78%
