LLY	Eli Lilly and Company	13.99%
JNJ	Johnson & Johnson	8.44%
ABBV	AbbVie Inc.	6.07%
UNH	UnitedHealth Group Incorporated	5.44%
MRK	Merck & Co., Inc.	4.63%
TMO	Thermo Fisher Scientific Inc.	2.88%
AMGN	Amgen Inc.	2.86%
GILD	Gilead Sciences, Inc.	2.63%
ISRG	Intuitive Surgical, Inc.	2.38%
ABT	Abbott Laboratories	2.35%
PFE	Pfizer Inc.	2.35%
BMY	Bristol-Myers Squibb Company	1.84%
DHR	Danaher Corporation	1.83%
CVS	CVS Health Corporation	1.82%
VRTX	Vertex Pharmaceuticals Incorporated	1.79%
SYK	Stryker Corporation	1.66%
MDT	Medtronic plc	1.49%
MCK	McKesson Corporation	1.43%
ELV	Elevance Health, Inc.	1.33%
CI	The Cigna Group	1.15%
