AVGO	Broadcom Inc.	5.39%
AAPL	Apple Inc.	4.55%
MSFT	Microsoft Corporation	4.26%
LLY	Eli Lilly and Company	3.83%
JPM	JPMorgan Chase & Co.	3.31%
XOM	Exxon Mobil Corporation	2.66%
JNJ	Johnson & Johnson	2.38%
V	Visa Inc.	2.24%
WMT	Walmart Inc.	2.22%
CSCO	Cisco Systems, Inc.	2.08%
COST	Costco Wholesale Corporation	1.86%
CAT	Caterpillar Inc.	1.78%
MA	Mastercard Incorporated	1.76%
LRCX	Lam Research Corporation	1.74%
ABBV	AbbVie Inc.	1.69%
ORCL	Oracle Corporation	1.68%
UNH	UnitedHealth Group Incorporated	1.51%
BAC	Bank of America Corporation	1.50%
PG	The Procter & Gamble Company	1.46%
HD	The Home Depot, Inc.	1.38%
