WELL	Welltower Inc.	7.65%
PLD	Prologis, Inc.	7.14%
EQIX	Equinix, Inc.	5.63%
AMT	American Tower Corporation	4.65%
SPG	Simon Property Group, Inc.	3.56%
DLR	Digital Realty Trust, Inc.	3.49%
O	Realty Income Corporation	3.03%
PSA	Public Storage	2.56%
VTR	Ventas, Inc.	2.14%
CCI	Crown Castle Inc.	2.13%
IRM	Iron Mountain Incorporated	2.04%
CBRE	CBRE Group, Inc.	1.97%
EXR	Extra Space Storage Inc.	1.63%
VICI	VICI Properties Inc.	1.53%
AVB	AvalonBay Communities, Inc.	1.36%
EQR	Equity Residential	1.18%
SBAC	SBA Communications Corporation	1.15%
WY	Weyerhaeuser Company	0.94%
ESS	Essex Property Trust, Inc.	0.94%
WPC	W. P. Carey Inc.	0.87%
