NVDA	NVIDIA Corporation	13.06%
AAPL	Apple Inc.	11.94%
MSFT	Microsoft Corporation	8.95%
AVGO	Broadcom Inc.	5.77%
AMZN	Amazon.com, Inc.	5.05%
GOOGL	Alphabet Inc.	3.90%
TSLA	Tesla, Inc.	3.47%
META	Meta Platforms, Inc.	3.19%
GOOG	Alphabet Inc.	3.14%
LLY	Eli Lilly and Company	2.67%
V	Visa Inc.	1.57%
AMD	Advanced Micro Devices, Inc.	1.46%
COST	Costco Wholesale Corporation	1.28%
LRCX	Lam Research Corporation	1.20%
MA	Mastercard Incorporated	1.20%
ABBV	AbbVie Inc.	1.16%
ORCL	Oracle Corporation	1.14%
NFLX	Netflix, Inc.	1.10%
PLTR	Palantir Technologies Inc.	1.03%
GE	GE Aerospace	1.01%
