MU	Micron Technology, Inc.	3.21%
BRK.B	Berkshire Hathaway Inc.	2.59%
GOOGL	Alphabet Inc.	2.31%
JPM	JPMorgan Chase & Co.	2.26%
AMZN	Amazon.com, Inc.	2.11%
GOOG	Alphabet Inc.	1.88%
XOM	Exxon Mobil Corporation	1.82%
JNJ	Johnson & Johnson	1.61%
INTC	Intel Corporation	1.50%
CSCO	Cisco Systems, Inc.	1.42%
WMT	Walmart Inc.	1.34%
CAT	Caterpillar Inc.	1.05%
UNH	UnitedHealth Group Incorporated	1.02%
AMD	Advanced Micro Devices, Inc.	1.02%
CVX	Chevron Corporation	1.01%
PG	The Procter & Gamble Company	1.00%
BAC	Bank of America Corporation	0.92%
MRK	Merck & Co., Inc.	0.87%
IBM	International Business Machines Corporation	0.82%
PM	Philip Morris International Inc.	0.82%
