NVDA	NVIDIA Corporation	7.89%
AAPL	Apple Inc.	7.04%
MSFT	Microsoft Corporation	5.14%
AMZN	Amazon.com, Inc.	4.06%
GOOGL	Alphabet Inc.	3.40%
AVGO	Broadcom Inc.	3.26%
GOOG	Alphabet Inc.	2.71%
META	Meta Platforms, Inc.	2.13%
TSLA	Tesla, Inc.	1.88%
MU	Micron Technology, Inc.	1.68%
LLY	Eli Lilly and Company	1.35%
BRK.B	Berkshire Hathaway Inc.	1.34%
AMD	Advanced Micro Devices, Inc.	1.29%
JPM	JPMorgan Chase & Co.	1.16%
XOM	Exxon Mobil Corporation	0.93%
JNJ	Johnson & Johnson	0.83%
INTC	Intel Corporation	0.83%
V	Visa Inc.	0.83%
WMT	Walmart Inc.	0.78%
CSCO	Cisco Systems, Inc.	0.73%
