STX	Seagate Technology Holdings plc	4.31%
VRT	Vertiv Holdings Co	2.71%
PWR	Quanta Services, Inc.	2.39%
HWM	Howmet Aerospace Inc.	2.33%
WDC	Western Digital Corporation	2.02%
MRVL	Marvell Technology, Inc.	2.01%
CEG	Constellation Energy Corporation	1.99%
DDOG	Datadog, Inc.	1.82%
ROST	Ross Stores, Inc.	1.68%
HOOD	Robinhood Markets, Inc.	1.67%
NET	Cloudflare, Inc.	1.64%
MPWR	Monolithic Power Systems, Inc.	1.63%
TDG	TransDigm Group Incorporated	1.60%
RCL	Royal Caribbean Cruises Ltd.	1.56%
MSI	Motorola Solutions, Inc.	1.50%
TER	Teradyne, Inc.	1.32%
O	Realty Income Corporation	1.28%
GWW	W.W. Grainger, Inc.	1.25%
DASH	DoorDash, Inc.	1.25%
TRGP	Targa Resources Corp.	1.23%
