NEE	NextEra Energy, Inc.	11.73%
SO	The Southern Company	6.71%
DUK	Duke Energy Corporation	6.17%
CEG	Constellation Energy Corporation	5.73%
AEP	American Electric Power Company, Inc.	4.45%
D	Dominion Energy, Inc.	3.80%
SRE	Sempra	3.76%
VST	Vistra Corp.	3.51%
ETR	Entergy Corporation	3.23%
XEL	Xcel Energy Inc.	3.21%
EXC	Exelon Corporation	3.02%
PEG	Public Service Enterprise Group Incorporated	2.54%
ED	Consolidated Edison, Inc.	2.52%
WEC	WEC Energy Group, Inc.	2.34%
PCG	PG&E Corporation	2.33%
AEE	Ameren Corporation	1.93%
DTE	DTE Energy Company	1.92%
ATO	Atmos Energy Corporation	1.81%
CNP	CenterPoint Energy, Inc.	1.78%
NRG	NRG Energy, Inc.	1.77%
