NVDA	NVIDIA Corporation	6.70%
AAPL	Apple Inc.	6.29%
MSFT	Microsoft Corporation	4.59%
AMZN	Amazon.com, Inc.	3.59%
GOOGL	Alphabet Inc.	3.04%
AVGO	Broadcom Inc.	2.91%
GOOG	Alphabet Inc.	2.39%
META	Meta Platforms, Inc.	1.90%
TSLA	Tesla, Inc.	1.69%
MU	Micron Technology, Inc.	1.50%
LLY	Eli Lilly and Company	1.29%
BRK.B	Berkshire Hathaway Inc.	1.17%
AMD	Advanced Micro Devices, Inc.	1.16%
JPM	JPMorgan Chase & Co.	1.04%
XOM	Exxon Mobil Corporation	0.83%
JNJ	Johnson & Johnson	0.75%
V	Visa Inc.	0.74%
WMT	Walmart Inc.	0.70%
INTC	Intel Corporation	0.63%
CSCO	Cisco Systems, Inc.	0.59%
