MU	Micron Technology, Inc.	4.15%
JPM	JPMorgan Chase & Co.	2.87%
BRK.B	Berkshire Hathaway Inc.	2.81%
XOM	Exxon Mobil Corporation	2.30%
JNJ	Johnson & Johnson	2.06%
WMT	Walmart Inc.	1.93%
INTC	Intel Corporation	1.74%
CSCO	Cisco Systems, Inc.	1.63%
CAT	Caterpillar Inc.	1.55%
ABBV	AbbVie Inc.	1.46%
CVX	Chevron Corporation	1.31%
UNH	UnitedHealth Group Incorporated	1.31%
PG	The Procter & Gamble Company	1.27%
BAC	Bank of America Corporation	1.27%
HD	The Home Depot, Inc.	1.20%
MRK	Merck & Co., Inc.	1.11%
GS	The Goldman Sachs Group, Inc.	1.10%
IBM	International Business Machines Corporation	1.06%
PM	Philip Morris International Inc.	1.05%
KO	The Coca-Cola Company	1.03%
