BE	Bloom Energy Corporation	1.79%
CRDO	Credo Technology Group Holding Ltd	1.09%
STRL	Sterling Infrastructure, Inc.	0.74%
FN	Fabrinet	0.68%
NXT	Nextpower Inc.	0.65%
IONQ	IonQ, Inc.	0.61%
CDE	Coeur Mining, Inc.	0.57%
TTMI	TTM Technologies, Inc.	0.51%
SATS	EchoStar Corp Class A	0.50%
GH	Guardant Health, Inc.	0.46%
SITM	SiTime Corporation	0.46%
RMBS	Rambus Inc.	0.45%
DY	Dycom Industries, Inc.	0.43%
MOD	Modine Manufacturing Company	0.42%
SMTC	Semtech Corporation	0.41%
SANM	Sanmina Corporation	0.40%
PL	Planet Labs PBC	0.40%
HUT	Hut 8 Corp.	0.35%
DOCN	DigitalOcean Holdings, Inc.	0.34%
KTOS	Kratos Defense & Security Solutions, Inc.	0.33%
