NVDA	NVIDIA Corporation	7.64%
AAPL	Apple Inc.	7.18%
MSFT	Microsoft Corporation	5.24%
AMZN	Amazon.com, Inc.	4.10%
GOOGL	Alphabet Inc.	3.47%
AVGO	Broadcom Inc.	3.32%
GOOG	Alphabet Inc.	2.73%
META	Meta Platforms, Inc.	2.17%
TSLA	Tesla, Inc.	1.92%
MU	Micron Technology, Inc.	1.71%
LLY	Eli Lilly and Company	1.47%
AMD	Advanced Micro Devices, Inc.	1.32%
BRK.B	Berkshire Hathaway Inc.	1.31%
JPM	JPMorgan Chase & Co.	1.18%
XOM	Exxon Mobil Corporation	0.95%
JNJ	Johnson & Johnson	0.85%
WMT	Walmart Inc.	0.80%
V	Visa Inc.	0.79%
INTC	Intel Corporation	0.72%
CSCO	Cisco Systems, Inc.	0.67%
