AVGO	Broadcom Inc.	8.49%
JPM	JPMorgan Chase & Co.	3.13%
XOM	Exxon Mobil Corporation	2.52%
JNJ	Johnson & Johnson	2.23%
CSCO	Cisco Systems, Inc.	1.97%
CAT	Caterpillar Inc.	1.67%
ABBV	AbbVie Inc.	1.59%
ORCL	Oracle Corporation	1.56%
UNH	UnitedHealth Group Incorporated	1.42%
CVX	Chevron Corporation	1.41%
BAC	Bank of America Corporation	1.39%
PG	The Procter & Gamble Company	1.39%
HD	The Home Depot, Inc.	1.30%
KO	The Coca-Cola Company	1.26%
MRK	Merck & Co., Inc.	1.21%
GS	The Goldman Sachs Group, Inc.	1.18%
TXN	Texas Instruments Incorporated	1.14%
IBM	International Business Machines Corporation	1.14%
PM	Philip Morris International Inc.	1.14%
QCOM	QUALCOMM Incorporated	1.10%
