APGE	Apogee Therapeutics, Inc.	1.48%
MRNA	Moderna, Inc.	1.41%
TWST	Twist Bioscience Corporation	1.40%
ORKA	Oruka Therapeutics, Inc.	1.37%
KYMR	Kymera Therapeutics, Inc.	1.35%
VKTX	Viking Therapeutics, Inc.	1.30%
PRAX	Praxis Precision Medicines, Inc.	1.29%
ERAS	Erasca, Inc.	1.27%
RVMD	Revolution Medicines, Inc.	1.20%
RYTM	Rhythm Pharmaceuticals, Inc.	1.20%
CGON	CG Oncology, Inc.	1.20%
SLS	SELLAS Life Sciences Group, Inc.	1.19%
PCVX	Vaxcyte, Inc.	1.18%
DNTH	Dianthus Therapeutics, Inc.	1.18%
CYTK	Cytokinetics, Incorporated	1.17%
NTRA	Natera, Inc.	1.16%
SRRK	Scholar Rock Holding Corporation	1.15%
ROIV	Roivant Sciences Ltd.	1.15%
MIRM	Mirum Pharmaceuticals, Inc.	1.15%
COGT	Cogent Biosciences, Inc.	1.14%
