LIN	Linde plc	14.07%
NEM	Newmont Corporation	5.85%
FCX	Freeport-McMoRan Inc.	5.30%
CTVA	Corteva, Inc.	4.96%
SHW	The Sherwin-Williams Company	4.94%
ECL	Ecolab Inc.	4.73%
VMC	Vulcan Materials Company	4.72%
CRH	CRH plc	4.67%
APD	Air Products and Chemicals, Inc.	4.60%
MLM	Martin Marietta Materials, Inc.	4.55%
NUE	Nucor Corporation	3.88%
STLD	Steel Dynamics, Inc.	3.73%
PPG	PPG Industries, Inc.	3.62%
SW	Smurfit Westrock Plc	3.25%
PKG	Packaging Corporation of America	2.83%
IFF	International Flavors & Fragrances Inc.	2.71%
IP	International Paper Company	2.70%
AMCR	Amcor plc	2.69%
DOW	Dow Inc.	2.64%
DD	DuPont de Nemours, Inc.	2.48%
