META	Meta Platforms, Inc.	19.75%
GOOGL	Alphabet Inc.	12.86%
GOOG	Alphabet Inc.	10.30%
TTWO	Take-Two Interactive Software, Inc.	5.16%
NFLX	Netflix, Inc.	4.97%
WBD	Warner Bros. Discovery, Inc.	4.72%
CMCSA	Comcast Corporation	4.61%
EA	Electronic Arts Inc.	4.60%
DIS	The Walt Disney Company	4.53%
T	AT&T Inc.	4.29%
VZ	Verizon Communications Inc.	4.28%
TMUS	T-Mobile US, Inc.	4.28%
LYV	Live Nation Entertainment, Inc.	3.46%
OMC	Omnicom Group Inc.	2.52%
ECHO	EchoStar Corporation	1.65%
TKO	TKO Group Holdings, Inc.	1.60%
CHTR	Charter Communications, Inc.	1.46%
FOXA	Fox Corporation	1.20%
NWSA	News Corporation	1.10%
TTD	The Trade Desk, Inc.	0.95%
