XOM	Exxon Mobil Corporation	22.40%
CVX	Chevron Corporation	16.23%
COP	ConocoPhillips	6.53%
WMB	The Williams Companies, Inc.	5.04%
VLO	Valero Energy Corporation	4.71%
MPC	Marathon Petroleum Corporation	4.51%
EOG	EOG Resources, Inc.	4.19%
PSX	Phillips 66	4.16%
SLB	SLB N.V.	4.05%
KMI	Kinder Morgan, Inc.	3.76%
TRGP	Targa Resources Corp.	3.47%
OKE	ONEOK, Inc.	3.33%
BKR	Baker Hughes Company	3.33%
DVN	Devon Energy Corporation	2.88%
OXY	Occidental Petroleum Corporation	2.12%
FANG	Diamondback Energy, Inc.	2.09%
EQT	EQT Corporation	1.94%
HAL	Halliburton Company	1.70%
TPL	Texas Pacific Land Corporation	1.45%
EXE	Expand Energy Corporation	1.25%
