BRK.B	Berkshire Hathaway Inc.	12.16%
JPM	JPMorgan Chase & Co.	11.63%
V	Visa Inc.	7.55%
MA	Mastercard Incorporated	5.49%
BAC	Bank of America Corporation	4.93%
GS	The Goldman Sachs Group, Inc.	3.95%
WFC	Wells Fargo & Company	3.35%
MS	Morgan Stanley	3.32%
C	Citigroup Inc.	3.16%
AXP	American Express Company	2.39%
SCHW	The Charles Schwab Corporation	2.00%
BLK	BlackRock, Inc.	1.84%
PGR	The Progressive Corporation	1.69%
COF	Capital One Financial Corporation	1.66%
SPGI	S&P Global Inc.	1.64%
CB	Chubb Limited	1.63%
BNY	The Bank of New York Mellon Corporation	1.32%
PNC	The PNC Financial Services Group, Inc.	1.31%
USB	U.S. Bancorp	1.24%
BX	Blackstone Inc.	1.16%
