NVDA	NVIDIA Corporation	14.80%
AAPL	Apple Inc.	13.23%
MSFT	Microsoft Corporation	8.79%
MU	Micron Technology, Inc.	5.58%
AVGO	Broadcom Inc.	5.48%
AMD	Advanced Micro Devices, Inc.	4.97%
INTC	Intel Corporation	3.55%
AMAT	Applied Materials, Inc.	2.91%
LRCX	Lam Research Corporation	2.77%
CSCO	Cisco Systems, Inc.	2.63%
KLAC	KLA Corporation	1.90%
SNDK	Sandisk Corporation	1.81%
TXN	Texas Instruments Incorporated	1.52%
PLTR	Palantir Technologies Inc.	1.52%
IBM	International Business Machines Corporation	1.49%
ORCL	Oracle Corporation	1.47%
PANW	Palo Alto Networks, Inc.	1.44%
MRVL	Marvell Technology, Inc.	1.37%
WDC	Western Digital Corporation	1.18%
STX	Seagate Technology Holdings plc	1.18%
