WMT	Walmart Inc.	10.77%
COST	Costco Wholesale Corporation	9.00%
PG	The Procter & Gamble Company	7.41%
KO	The Coca-Cola Company	6.86%
PM	Philip Morris International Inc.	6.11%
CL	Colgate-Palmolive Company	4.66%
MO	Altria Group, Inc.	4.60%
MNST	Monster Beverage Corporation	4.46%
PEP	PepsiCo, Inc.	4.36%
MDLZ	Mondelez International, Inc.	4.22%
TGT	Target Corporation	3.89%
KDP	Keurig Dr Pepper Inc.	2.91%
SYY	Sysco Corporation	2.55%
ADM	Archer-Daniels-Midland Company	2.37%
KVUE	Kenvue Inc.	2.34%
KMB	Kimberly-Clark Corporation	2.33%
KR	The Kroger Co.	2.03%
CASY	Casey's General Stores, Inc.	1.84%
HSY	The Hershey Company	1.72%
DG	Dollar General Corporation	1.65%
