WELL	Welltower Inc.	10.70%
PLD	Prologis, Inc.	8.70%
EQIX	Equinix, Inc.	7.18%
AMT	American Tower Corporation	5.46%
SPG	Simon Property Group, Inc.	4.91%
DLR	Digital Realty Trust, Inc.	4.73%
O	Realty Income Corporation	4.50%
PSA	Public Storage	4.43%
VTR	Ventas, Inc.	4.35%
CBRE	CBRE Group, Inc.	4.05%
IRM	Iron Mountain Incorporated	3.96%
CCI	Crown Castle Inc.	3.63%
EXR	Extra Space Storage Inc.	3.17%
VICI	VICI Properties Inc.	2.99%
AVB	AvalonBay Communities, Inc.	2.66%
EQR	Equity Residential	2.34%
SBAC	SBA Communications Corporation	1.96%
ESS	Essex Property Trust, Inc.	1.91%
WY	Weyerhaeuser Company	1.84%
KIM	Kimco Realty Corporation	1.76%
