NEE	NextEra Energy, Inc.	12.82%
SO	The Southern Company	7.56%
DUK	Duke Energy Corporation	6.94%
CEG	Constellation Energy Corporation	5.75%
AEP	American Electric Power Company, Inc.	5.21%
SRE	Sempra	4.26%
D	Dominion Energy, Inc.	4.22%
ETR	Entergy Corporation	3.69%
VST	Vistra Corp.	3.57%
XEL	Xcel Energy Inc.	3.55%
EXC	Exelon Corporation	3.35%
ED	Consolidated Edison, Inc.	2.87%
PEG	Public Service Enterprise Group Incorporated	2.85%
WEC	WEC Energy Group, Inc.	2.68%
PCG	PG&E Corporation	2.63%
DTE	DTE Energy Company	2.22%
AEE	Ameren Corporation	2.20%
NRG	NRG Energy, Inc.	2.18%
CNP	CenterPoint Energy, Inc.	2.03%
ATO	Atmos Energy Corporation	2.02%
