LLY	Eli Lilly and Company	16.71%
JNJ	Johnson & Johnson	10.69%
ABBV	AbbVie Inc.	7.72%
UNH	UnitedHealth Group Incorporated	6.55%
MRK	Merck & Co., Inc.	5.49%
AMGN	Amgen Inc.	3.34%
TMO	Thermo Fisher Scientific Inc.	3.23%
ABT	Abbott Laboratories	2.77%
GILD	Gilead Sciences, Inc.	2.69%
ISRG	Intuitive Surgical, Inc.	2.47%
PFE	Pfizer Inc.	2.39%
CVS	CVS Health Corporation	2.27%
VRTX	Vertex Pharmaceuticals Incorporated	2.18%
DHR	Danaher Corporation	2.09%
BMY	Bristol-Myers Squibb Company	2.05%
SYK	Stryker Corporation	1.95%
MDT	Medtronic plc	1.78%
MCK	McKesson Corporation	1.54%
ELV	Elevance Health, Inc.	1.45%
CI	The Cigna Group	1.27%
