AMZN	Amazon.com, Inc.	22.16%
TSLA	Tesla, Inc.	18.11%
HD	The Home Depot, Inc.	5.89%
MCD	McDonald's Corporation	4.23%
TJX	The TJX Companies, Inc.	4.11%
BKNG	Booking Holdings Inc.	3.57%
LOW	Lowe's Companies, Inc.	3.17%
SBUX	Starbucks Corporation	3.03%
MAR	Marriott International, Inc.	2.10%
RCL	Royal Caribbean Cruises Ltd.	2.02%
HLT	Hilton Worldwide Holdings Inc.	1.93%
ORLY	O'Reilly Automotive, Inc.	1.89%
GM	General Motors Company	1.79%
DASH	DoorDash, Inc.	1.76%
ROST	Ross Stores, Inc.	1.75%
ABNB	Airbnb, Inc.	1.55%
F	Ford Motor Company	1.41%
AZO	AutoZone, Inc.	1.31%
NKE	NIKE, Inc.	1.24%
EBAY	eBay Inc.	1.22%
