TPL	Texas Pacific Land Corporation	3.25%
PBF	PBF Energy Inc.	2.98%
DK	Delek US Holdings, Inc.	2.88%
EXE	Expand Energy Corporation	2.87%
CNX	CNX Resources Corporation	2.85%
EQT	EQT Corporation	2.82%
VLO	Valero Energy Corporation	2.82%
AR	Antero Resources Corporation	2.75%
DINO	HF Sinclair Corporation	2.75%
PARR	Par Pacific Holdings, Inc.	2.71%
MPC	Marathon Petroleum Corporation	2.71%
RRC	Range Resources Corporation	2.65%
VNOM	Viper Energy, Inc.	2.64%
PR	Permian Resources Corporation	2.60%
PSX	Phillips 66	2.59%
EOG	EOG Resources, Inc.	2.58%
MGY	Magnolia Oil & Gas Corporation	2.57%
OVV	Ovintiv Inc.	2.53%
XOM	Exxon Mobil Corporation	2.53%
MTDR	Matador Resources Company	2.53%
