LLY	Eli Lilly and Company	4.22%
TXN	Texas Instruments Incorporated	3.93%
TSLA	Tesla, Inc.	3.72%
NVDA	NVIDIA Corporation	3.70%
JNJ	Johnson & Johnson	3.34%
MSFT	Microsoft Corporation	3.20%
ADI	Analog Devices, Inc.	3.10%
AMZN	Amazon.com, Inc.	2.66%
PANW	Palo Alto Networks, Inc.	2.48%
ABBV	AbbVie Inc.	2.45%
GOOGL	Alphabet Inc.	2.17%
AVGO	Broadcom Inc.	2.02%
CRWD	CrowdStrike Holdings, Inc.	1.80%
MRK	Merck & Co., Inc.	1.72%
ISRG	Intuitive Surgical, Inc.	1.38%
MU	Micron Technology, Inc.	1.38%
META	Meta Platforms, Inc.	1.37%
